StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Informed consent ",Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5
2024-01-29 08:27:47,2024-01-29 08:32:31,IP Address,109.38.131.152,100,283,True,2024-01-29 08:32:31,R_2VSFtqwlzQ1Ozfj,,,,,52.3782,4.853,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Colour",A toy car,Object,A toy car,Both equally,Size in relation to other objects,A toy car,Object,A toy car,Object,Colour,A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background",A real car,Both equally,A real car,Both equally,"Colour,Context/environment in which the (toy) car can be seen"
2024-01-29 08:29:00,2024-01-29 08:34:53,IP Address,172.226.96.19,100,352,True,2024-01-29 08:34:53,R_2g14b3LgpGDMnn7,,,,,52.3803,4.6422,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Object,"Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess",A real car,Object,A real car,Object,Details on the (toy) car
2024-01-29 08:29:32,2024-01-29 08:34:59,IP Address,93.86.139.13,100,327,True,2024-01-29 08:35:00,R_2JeIqXtqjlnzhP8,,,,,44.8046,20.4637,anonymous,EN,agree to participate in this study.,I am unsure,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 08:33:54,2024-01-29 08:38:02,IP Address,84.82.32.165,100,247,True,2024-01-29 08:38:03,R_4Y5QDv3nd9C1MsX,,,,,52.3599,5.18,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,I am still unsure,Surrounding (Environment around the car),Blurriness or sharpness of fore/background,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background"
2024-01-29 08:33:32,2024-01-29 08:39:08,IP Address,172.225.228.229,100,336,True,2024-01-29 08:39:10,R_41EA2t0oIEr3QQm,,,,,52.3716,4.8883,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,"Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Both equally,"Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A real car,Surrounding (Environment around the car),Size in relation to other objects,I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen"
2024-01-29 08:28:14,2024-01-29 08:44:06,IP Address,145.109.28.88,100,951,True,2024-01-29 08:44:07,R_2e7MlOw28iYf2yR,,,,,52.3824,4.8995,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A toy car,Object,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 08:42:08,2024-01-29 08:45:59,IP Address,89.97.163.196,100,230,True,2024-01-29 08:45:59,R_3CI919aN4fYRX9z,,,,,41.8904,12.5126,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",A real car,Both equally,A real car,Both equally,"Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 08:46:58,2024-01-29 08:50:05,IP Address,86.33.64.190,100,187,True,2024-01-29 08:50:06,R_2AYG1dLPXkWqAwt,,,,,45.8293,15.9793,anonymous,EN,agree to participate in this study.,A real car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Object,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Surrounding (Environment around the car),Details on the (toy) car,A real car,Object,A toy car,Surrounding (Environment around the car),Details on the (toy) car
2024-01-29 08:47:03,2024-01-29 08:50:31,IP Address,217.254.86.248,100,208,True,2024-01-29 08:50:33,R_4nDjaWIzVi423dr,,,,,52.5353,13.4459,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A toy car,Both equally,Texture/reflections or graininess,A real car,Object,A real car,Both equally,Context/environment in which the (toy) car can be seen,A real car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A real car,Object,A real car,Both equally,Context/environment in which the (toy) car can be seen
2024-01-29 08:47:51,2024-01-29 08:55:14,IP Address,37.174.11.139,100,442,True,2024-01-29 08:55:15,R_6lPGXlFzIFjVv63,,,,,48.8582,2.3387,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Object,"Blurriness or sharpness of fore/background,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen"
2024-01-29 08:59:22,2024-01-29 09:03:36,IP Address,213.237.94.117,100,254,True,2024-01-29 09:03:37,R_43gz4YvtCxkJf6G,,,,,55.6802,12.5892,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,Details on the (toy) car,A toy car,Object,A toy car,Both equally,Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Object,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",A real car,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 08:55:32,2024-01-29 09:06:58,IP Address,213.202.233.219,100,686,True,2024-01-29 09:06:59,R_59hta98XFelfJJf,,,,,51.2993,9.491,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Texture/reflections or graininess,Details on the (toy) car,Other",A real car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen"
2024-01-29 09:04:53,2024-01-29 09:10:24,IP Address,84.151.171.87,100,331,True,2024-01-29 09:10:24,R_5wbHylhGGytgvi9,,,,,48.5253,9.0139,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Details on the (toy) car",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option",Details on the (toy) car,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 08:58:44,2024-01-29 09:13:46,IP Address,92.184.96.73,100,901,True,2024-01-29 09:13:46,R_2D8u6YfzzebE4NU,,,,,48.8323,2.4075,anonymous,EN,agree to participate in this study.,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A real car,Object,Other,A real car,Both equally,A real car,Both equally,Size in relation to other objects,A toy car,Surrounding (Environment around the car),A toy car,Both equally,Size in relation to other objects,A real car,Object,A real car,Both equally,Size in relation to other objects
2024-01-29 09:11:27,2024-01-29 09:15:02,IP Address,91.141.79.107,100,214,True,2024-01-29 09:15:02,R_39XrpYlAKOdejDz,,,,,48.1535,16.3855,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A real car,Both equally,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 09:22:24,2024-01-29 09:28:12,IP Address,92.108.85.63,100,348,True,2024-01-29 09:28:13,R_3ZPGE3xcvkBPeHx,,,,,52.3085,5.036,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,Blurriness or sharpness of fore/background,A toy car,Both equally,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 09:34:34,2024-01-29 09:40:56,IP Address,109.245.111.211,100,381,True,2024-01-29 09:40:56,R_6QbUlJORv3JdZPl,,,,,44.8046,20.4637,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Colour,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen"
2024-01-29 09:42:37,2024-01-29 09:50:23,IP Address,46.114.176.80,100,466,True,2024-01-29 09:50:24,R_2qVdlf2BB0Ceo9z,,,,,52.571,13.3525,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Object,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,I am unsure,Object,I am still unsure,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Both equally,Size in relation to other objects,A real car,Object,A real car,Both equally,"Texture/reflections or graininess,Context/environment in which the (toy) car can be seen"
2024-01-29 09:41:34,2024-01-29 09:54:46,IP Address,109.245.111.211,100,792,True,2024-01-29 09:54:47,R_8iLsmwpEXNlcu9q,,,,,44.8046,20.4637,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car"
